year,month,HHI_Total_assoc,HHI_Total_units,num_associations_Total,total_units_Total,HHI_LV_assoc,HHI_LV_units,num_associations_LV,total_units_LV,HHI_Reno_assoc,HHI_Reno_units,num_associations_Reno,total_units_Reno,HHI_Other_assoc,HHI_Other_units,num_associations_Other,total_units_Other
2017,9,421.7040181443007,849.0815604110869,2852,867781,554.2120757799075,799.7542873870262,2229,564857,917.4565694046216,1280.4447700879482,385,84032,2225.831509074217,6857.252972031239,238,218892
2017,10,418.500733626784,842.2411349725863,2856,868824,549.6099420613815,788.2203519803103,2232,565154,901.1318949941544,1239.3350800554156,388,84638,2210.57167480609,6849.620662262801,236,219032
2017,11,419.2545595313709,838.0100857839404,2858,872202,552.5789780610911,785.5281935686247,2230,568073,884.4181459566075,1230.4619313059775,390,84784,2203.587317279853,6830.967765372621,238,219345
2017,12,421.0768252726295,839.3906588351679,2860,872689,554.4675164782368,787.3679966247554,2235,569037,890.2267365402026,1242.0558545113722,389,84636,2184.7170353346737,6849.209387777838,236,219016
2018,1,420.51844446208383,837.0160168976687,2866,875590,554.6374136503571,785.0936933738918,2234,570167,880.2271047415966,1249.894150442913,391,85472,2146.485081179731,6793.623891107462,241,219951
2018,2,421.02864583333337,832.7445516148196,2880,877348,554.2293030736694,782.0701089687292,2248,569764,875.8202761017969,1230.960012895336,389,85846,2169.5540991380053,6695.942700799609,243,221738
2018,3,422.6532567049809,856.3608644770223,2784,853950,559.5023276029095,784.112376885593,2185,558950,829.1024444292665,1182.5882768373908,363,76047,2123.31226659006,6849.885201212563,236,218953
2018,4,421.4189979350359,833.5445071564454,2887,877986,555.4578352529508,787.2341049530454,2262,572569,855.5772569444446,1207.7485841575813,384,84460,2126.5129732614787,6739.098403670427,241,220957
2018,5,422.40859557190106,831.0235175787182,2903,879882,558.2494275855618,787.7031190838941,2281,575657,879.2248019517006,1212.175954782765,382,83614,2161.805555555556,6760.0365417872745,240,220611
2018,6,419.0120125858752,820.9348725132501,2908,880188,556.5675583158098,774.0496431779386,2288,576775,888.5346105916833,1221.3473942781218,379,82776,2162.66937552728,6758.792381670238,241,220637
2018,7,420.44854504506986,820.6457290930589,2917,881145,557.884032044283,775.2162901486,2293,577144,894.386233216911,1220.973402593305,381,83155,2185.811783434098,6747.523519310511,243,220846
2018,8,422.153542954403,819.487165461885,2928,884528,559.6521739130433,777.5463328423701,2300,578226,886.2877382357902,1166.3876218897406,385,85459,2185.811783434098,6747.704623994311,243,220843
2018,9,420.5521721675559,850.934821996499,2937,886256,556.3756975669498,845.04340653696,2307,579597,892.7756449837581,1177.2324168626392,386,85725,2187.9199140016126,6742.681503115994,244,220934
2018,10,423.0117782246481,851.9774842983986,2950,887967,558.4720570749107,848.1567998605119,2320,581411,889.3081092570942,1206.1823157523495,388,85018,2217.06167611502,6709.886477321457,242,221538
2018,11,425.18946311176046,856.1338532064815,2960,889054,562.0837318879087,853.9287126799413,2328,584033,884.5496383957922,1256.4195478674892,390,83426,2240.284133597432,6707.528004494099,242,221595
2018,12,423.5611118780015,851.1935981194302,2968,890767,562.9350115905187,872.9175971110742,2334,590100,873.9477109647372,1196.3930099391637,391,79395,2245.4232925197725,6725.34831873954,243,221272
2019,1,423.7235699213783,845.7140293490374,2976,894499,563.9619574251761,871.3716247006494,2341,591295,867.7186061801447,1172.55848679189,390,81364,2259.2253227821748,6694.891241875802,245,221840
2019,2,419.878980446552,840.5445389761841,2988,897373,559.2064047717549,864.217059685177,2345,593674,874.3466074089035,1170.3239670133692,398,81749,2309.870887130363,6689.135094884116,245,221950
2019,3,416.7205865507565,837.3485978239488,3003,899015,554.2221378459557,862.3671170330751,2354,594940,867.1943927065975,1164.357401984942,404,82113,2309.5376926280724,6688.4114722890645,245,221962
2019,4,417.0242982475677,834.7764212981492,3019,901858,552.4016265937066,866.4230132449699,2366,598628,903.175850591716,1168.4881048770796,416,82250,2557.104452634016,6749.30645173749,237,220980
2019,5,419.5091773252529,833.6692676567586,3029,904370,554.2174579911065,870.6672369119498,2373,599230,902.472266790884,1160.8177459857282,417,82378,2492.428353845345,6649.924284917941,239,222762
2019,6,417.207266134526,825.7522877737614,3035,906960,551.6293526091782,855.1757078422257,2378,601138,905.0249630177514,1194.5773197701606,416,82823,2445.7223532652674,6636.071455111361,241,222999
2019,7,415.3858022216722,821.3572463990805,3038,909450,546.5539156839205,850.1866803210709,2380,601868,909.598373215008,1199.704002873372,419,84103,2474.221389681553,6614.019635062118,239,223479
2019,8,412.1180382733736,814.0392102162201,3047,917567,531.7131241069341,818.146989986612,2423,620503,916.4214640282114,1242.3416598922538,422,81687,2646.309185373984,7084.560178647613,202,215377
2019,9,413.0813634222534,812.1573967385198,3049,916874,530.3616811063087,808.7679815031397,2441,624866,942.0657207466352,1281.7299982418194,419,79464,2938.047647042357,7268.88520357938,189,212544
2019,10,416.0289965377665,803.4923801743987,3065,915493,537.33558067288,791.2353705856374,2460,624482,940.5048076923078,1282.845144430673,416,78005,2940.287226001512,7238.617668290012,189,213006
2019,11,408.8296395125059,788.5782493812405,3077,913220,524.2435426292849,758.728937210666,2468,620254,941.2318339100344,1226.289209550279,425,81040,3075.378071833647,7309.5813264603,184,211926
2019,12,407.82870003509424,791.6312711313226,3091,914399,521.1043184183143,761.4996965702921,2480,620153,930.2607507328792,1142.413513398271,426,81945,3209.6420745069395,7287.748975112481,185,212301
2020,1,404.173917115596,772.8873445665909,3093,907296,516.2629034908177,714.3571486188529,2483,613186,919.6218010306576,1141.2402173919086,428,82039,3259.2682043231493,7302.712487102053,182,212071
2020,2,404.41230377776,774.074253960719,3101,906915,515.40436581623,717.4724973984543,2486,612362,904.4924554183816,1114.376163321639,432,82713,3313.028158499807,7320.077961795399,183,211840
2020,3,401.9078625214517,771.2121067228276,3106,908489,510.96822806205057,711.1901191483815,2489,613827,904.9015722024044,1116.4660520608768,435,82854,3349.23318439802,7322.424730745267,182,211808
2020,4,408.55760464472326,771.9969399169569,3107,909313,513.8275122312746,716.4092564626802,2487,615312,917.3055278302788,1120.3866802539394,434,81792,3379.581454503409,7298.129676064069,186,212209
2020,5,403.8193347189053,778.4502026598315,3033,895450,506.0185446342828,724.4366386403128,2426,602499,892.2468363027804,1050.6582493230958,429,81230,3524.176240373692,7327.720178871783,178,211721
2020,6,403.5607572295571,770.0177429462863,3110,913435,506.2739595312594,729.8137014668765,2487,621274,900.7231404958676,1034.18162769906,440,81807,3547.134880109887,7427.520386435376,183,210354
2020,7,402.8441283844638,764.3186757980483,3118,920159,505.2944876218996,723.9235130918419,2493,629952,894.1233333847522,1040.3493839006053,441,80042,3510.1606805293004,7440.888932625123,184,210165
2020,8,403.3707731103432,746.700014771871,3118,920383,502.65143600547225,678.9625568863951,2502,628770,893.1564282045027,1023.4356461853224,439,81866,3463.564109930096,7467.364749881454,177,209747
2020,9,401.9685738655927,744.7440965042423,3129,920932,501.0880717817609,676.1253526160065,2509,628499,897.9136381318973,1021.5080061778116,442,83010,3302.613306400708,7487.422560389553,178,209423
2020,10,401.7931761937605,723.7753712027807,3140,939154,500.0330162460419,655.0765844195095,2519,645512,896.4369775180587,1017.840545190168,444,83522,3291.1998467873213,7444.169165941056,177,210120
2020,11,408.388262538338,723.9871267843575,3141,939264,510.9234165320257,656.2644845207673,2518,645541,900.0095090811724,1020.3548240294416,447,83944,3289.643595041322,7465.78841983121,176,209779
2020,12,402.9395444179008,720.8539241867243,3146,941606,508.801424050633,652.565415621413,2528,649810,891.1570197170411,1012.5320399694556,442,83220,3231.534090909091,7540.902092131089,176,208576
2021,1,395.7610117077602,724.2635183183805,3099,932499,495.3830700427668,644.3349127640456,2502,644590,907.7074759945132,1048.1419323575842,432,80506,3265.013774104682,7619.714872481802,165,207403
2021,2,395.7308117075636,713.070974259192,3164,947816,500.9334871203382,649.4515820172219,2550,656891,923.8773191200976,995.0204718492512,443,83608,3176.019971957184,7623.371222026488,171,207317
2021,3,388.5234335149938,719.3647225274213,3088,932849,491.3791713036885,644.4095422087485,2490,645558,923.770634989955,1017.5201921836508,428,80493,3092.7335640138404,7657.143544499384,170,206798
2021,4,382.7301225420348,702.0894018716028,3190,953863,484.8295067308125,638.348155522467,2563,659556,919.3283676303498,1000.209571638132,445,83100,3311.19430020529,7382.66952396391,182,211207
2021,5,371.353262866864,696.3325950749659,3205,954157,470.0076746876457,626.2527717110904,2571,654870,912.0407470956386,955.9660356797864,451,87872,3275.40386395533,7368.675859404386,183,211415
2021,6,363.86689229719536,702.3158276384388,3113,938234,459.5498909233776,617.8592657756806,2488,637180,882.3926850141883,1018.7385475348498,447,92431,3050.7511677818466,7541.174681526217,178,208623
2021,7,362.9340059565868,691.9738533331939,3229,962236,459.8889413988659,625.8838015701704,2576,656124,879.5520271141482,1026.518974741162,466,94140,3139.066029912208,7332.84790052782,187,211972
2021,8,369.1503667617507,691.861114783939,3217,963572,463.7546723282859,627.0525705096928,2569,655811,905.6813251916088,1011.279592004814,463,95811,3252.8853177501837,7334.797115117653,185,211950
2021,9,373.366146230081,699.8049210173099,3222,964841,465.2034962487641,644.3382609752132,2586,657665,930.9334966133636,1034.309285302177,459,95471,3634.0132145935063,7353.745414889633,177,211705
