Name,SOS#,Assn Type,# of Units,Telephone,Address1,Address2,City,State,Zip Code,County,Address1_clean,Address2_Normalized,Firm_Normalized,Phone_Normalized,Firm_ByPhone,Firm_ByAddress,Firm_Final,Name_Changed_Flag
Brighton Manor Homeowners Association,0277962006-7,REG,92,(775) 852-2224,Equus Management Group,"5480 Reno Corporate Drive, Suite 100",Reno,NV,89511,Washoe,EQUUS MANAGEMENT GROUP,5480 reno corporate drive,equu management group,7758522224,equu management group,equu management group,equu management group,False
Brighton Ridge Homeowners Association,0628192005-8,REG,57,(702) 795-3344,Associa Nevada South,7670 W. Lake Mead Blvd Ste 100,Las Vegas,NV,89128,Clark,ASSOCIA NEVADA SOUTH,7670 w lake mead blvd,associa,7027953344,associa,associa,associa,False
Brighton Village Ii Community Association,0679322006-7,REG,63,(702) 655-7064,Nevada Community Management,9500 West Flamingo Rd Ste 204,Las Vegas,NV,89147,Clark,NEVADA COMMUNITY MANAGEMENT,9500 w flamingo rd,nevada community management,7026557064,nevada community management,nevada community management,nevada community management,False
Bristle Falls Homeowners' Association,0465662014-9,REG,60,(702) 655-7064,Nevada Community Management,9500 W Flamingo Rd Ste 204,Las Vegas,NV,89147,Clark,NEVADA COMMUNITY MANAGEMENT,9500 w flamingo rd,nevada community management,7026557064,nevada community management,nevada community management,nevada community management,False
Bristle Vale Homeowners Association,1429302019-6,SUB,243,(702) 942-2500,Community Management Group,2450 Box Canyon Dr,Las Vegas,NV,89128,Clark,COMMUNITY MANAGEMENT GROUP,2450 box canyon dr,community management group,7029422500,community management group,community management group,community management group,False
Bristlecone Ranch Homeowners Association,0331912016-1,REG,60,(702) 767-9993,Epic Association Management,8712 Spanish Ridge Ave,Las Vegas,NV,89148,Clark,EPIC ASSOCIATION MANAGEMENT,8712 spanish ridge ave,epic association management,7027679993,epic association management,epic association management,epic association management,False
Bristol Heights Homeowners' Association,0573712006-7,REG,35,(702) 362-0318,"Performance Cam, Llc",5135 Camino Al Norte Ste 100,N Las Vegas,NV,89031,Clark,"PERFORMANCE CAM, LLC",5135 camino al norte,performance cam,7023620318,performance cam,performance cam,performance cam,False
Brookfield @ Summerlin North,SAME AS MASTER,SAM,170,(702) 838-5500,Summerlin Community Management,2120 Snow Trail,Las Vegas,NV,89134,Clark,SUMMERLIN COMMUNITY MANAGEMENT,2120 snow trail,summerlin community management,7028385500,summerlin community management,summerlin community management,summerlin community management,False
Brookfield Community Association,0549802017-1,REG,222,(702) 515-2042,Thoroughbred Management,2555 W. Cheyenne Ave.,North Las Vegas,NV,89032,Clark,THOROUGHBRED MANAGEMENT,2555 w cheyenne ave,thoroughbred management,7025152042,thoroughbred management,thoroughbred management,thoroughbred management,False
Brookhaven Homeowners Association,0568612006-8,REG,85,(702) 990-9707,Kallfelz Team Dba Hoa Management,2701 N Tenaya Way Ste 130,Las Vegas,NV,89128,Clark,KALLFELZ TEAM DBA HOA MANAGEMENT,2701 n tenaya way,kallfelz team dba hoa management,7029909707,kallfelz team dba hoa management,kallfelz team dba hoa management,kallfelz team dba hoa management,False
Brookshire Homeowners Association,0247972015-3,REG,183,(702) 362-6262,Terra West Management Services,6655 S Cimarron Rd #200,Las Vegas,NV,89113,Clark,TERRA WEST MANAGEMENT SERVICES,6655 s cimarron rd 200,terra west management service,7023626262,terra west management service,terra west management service,terra west management service,False
"Brownstones At Centennial Springs Community Association, The",0161102017-9,REG,21,(702) 222-2391,Nevada Community Association,9500 West Flamingo Rd Ste 204,Las Vegas,NV,89014,Clark,NEVADA COMMUNITY ASSOCIATION,9500 w flamingo rd,nevada community association,7022222391,nevada community management,nevada community management,nevada community management,True
Buckingham At Huntington Homeowners Association,28584-2004,SUB,173,(725) 258-5612,Seabreeze Management Company,8329 W Sunset Rd Ste 270,Las Vegas,NV,89113,Clark,SEABREEZE MANAGEMENT COMPANY,8329 w sunset rd,seabreeze management,7252585612,seabreeze management,seabreeze management,seabreeze management,False
Buena Vista Homeowner Association,10349-1993,SUB,208,(702) 222-2391,Nevada Community Management,"9500 West Flamingo Road, Suite 204",Las Vegas,NV,89147,Clark,NEVADA COMMUNITY MANAGEMENT,9500 w flamingo rd,nevada community management,7022222391,nevada community management,nevada community management,nevada community management,False
Buffalo Mesa Community Association,12077612021-2,REG,232,(702) 462-9281,Apogee Management Corporation,4775 W Teco Ave Suite 130,Las Vegas,NV,89118,Clark,APOGEE MANAGEMENT CORPORATION,4775 w teco ave,apogee management,7024629281,apogee management,apogee management,apogee management,False
Buffalo Ranch Homeowners Association,0037822011-8,REG,552,(702) 754-6313,Sierra Community Management,8020 W Sahara Ave Ste 260,Las Vegas,NV,89117,Clark,SIERRA COMMUNITY MANAGEMENT,8020 w sahara ave,sierra community management,7027546313,sierra community management,sierra community management,sierra community management,False
Buffalo Ridge Homeowners Association,15516322021-2,REG,18,(702) 462-9281,Apogee Management Corporation,4775 W Teco Ave Suite 130,Las Vegas,NV,89118,Clark,APOGEE MANAGEMENT CORPORATION,4775 w teco ave,apogee management,7024629281,apogee management,apogee management,apogee management,False
Buffalo Springs Community Association,41890732024-5,REG,250,(702) 723-6959,Westward 360,3265 N Fort Apache Ste 160,Las Vegas,NV,89129,Clark,WESTWARD 360,3265 n ft apache,westward360,7027236959,westward360,westward360,westward360,False
Bullring Homeowners Association,32063422023-3,REG,12,(702) 462-9281,Apogee Management Corporation,4775 W Teco Ave Ste 130,Las Vegas,NV,89118,Clark,APOGEE MANAGEMENT CORPORATION,4775 w teco ave,apogee management,7024629281,apogee management,apogee management,apogee management,False
Bunker Vistas Homeowners Association,0318432013-3,REG,41,(702) 515-2042,Thoroughbred Management,2555 W Cheyenne Ave,N Las Vegas,NV,89032,Clark,THOROUGHBRED MANAGEMENT,2555 w cheyenne ave,thoroughbred management,7025152042,thoroughbred management,thoroughbred management,thoroughbred management,False
Burgundy Hill Homeowners Association,8208-1983,REG,63,(775) 298-7955,Incline Property Management,848 Tanager St Ste M,Incline Village,NV,89451,Washoe,INCLINE PROPERTY MANAGEMENT,848 tanager st,incline property management,7752987955,incline property management,incline property management,incline property management,False
Burson Ranch Homeowners' Association,0006532006-9,REG,586,(702) 458-2580,Colonial Property Management,8595 S Eastern Ave,Las Vegas,NV,89123,Nye,COLONIAL PROPERTY MANAGEMENT,8595 s eastern ave,colonial property management,7024582580,colonial property management,colonial property management,colonial property management,False
Butler Estates Homeowners Association,0136322006-1,REG,16,(702) 835-6904,The Management Trust,8485 W Sunset Rd Ste 100,Las Vegas,NV,89113,Clark,THE MANAGEMENT TRUST,8485 w sunset rd,the management trust,7028356904,the management trust,the management trust,the management trust,False
Bve Homeowners Association,0243892018-2,REG,25,(702) 869-0937,Prime Community Management Llc,3556 Russell Rd,Las Vegas,NV,89120,Clark,PRIME COMMUNITY MANAGEMENT LLC,3556 russell rd,prime community management,7028690937,prime community management,prime community management,prime community management,False
Cabernet Homeowners Association,0106912006-6,REG,380,(775) 624-8805,Firstservice Residential,639 Isbell Rd Ste 320,Reno,NV,89509,Washoe,FIRSTSERVICE RESIDENTIAL,639 isbell rd,firstservice residential nevada,7756248805,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,False
Cabrillo Terrace Owners Association,1450-1992,REG,96,(702) 835-6904,The Management Trust,8485 West Sunset Rd Ste 100,Las Vegas,NV,89113,Clark,THE MANAGEMENT TRUST,8485 w sunset rd,the management trust,7028356904,the management trust,the management trust,the management trust,False
Cache Homeowners Association,0628202005-1,REG,48,(702) 736-9450,Taylor Association Management,259 N Pecos Rd Ste 100,Henderson,NV,89074,Clark,TAYLOR ASSOCIATION MANAGEMENT,259 n peco rd,taylor association management,7027369450,taylor association management,taylor association management,taylor association management,False
Cactus Court Homeowners Association,0763322005-9,REG,120,(702) 933-7764,"Real Properties Management Group, Inc.",3077 E Warm Springs Rd,Las Vegas,NV,89120,Clark,"REAL PROPERTIES MANAGEMENT GROUP, INC.",3077 e warm spring rd,real propertie management group,7029337764,real propertie management group,real propertie management group,real propertie management group,False
Cactus Creek At Mountains Edge Homeowners Association,0120272007-7,SUB,415,(702) 531-3382,Camco,Po Box 400518,Las Vegas,NV,89140,Clark,CAMCO,po box 400518,camco,7025313382,camco,camco,camco,False
Cactus Hills Crossing Homeowners Association,0073622007-2,REG,118,(702) 262-9091,Regal Property Management,3720 W Oquendo Rd Ste 101,Las Vegas,NV,89118,Clark,REGAL PROPERTY MANAGEMENT,3720 w oquendo rd,regal property management,7022629091,regal property management,regal property management,regal property management,False
Cactus Hills East Homeowners Association (Highland Hills),0864642006-0,REG,42,(702) 362-0318,"Performance Cam, Llc",5135 Camino Al Norte Ste 100,North Las Vegas,NV,89031,Clark,"PERFORMANCE CAM, LLC",5135 camino al norte,performance cam,7023620318,performance cam,performance cam,performance cam,False
Cactus Hills Estates Homeowners Association,0073582007-6,REG,98,(702) 835-6904,The Management Trust,8485 W Sunset Rd Ste 100,Las Vegas,NV,89113,Clark,THE MANAGEMENT TRUST,8485 w sunset rd,the management trust,7028356904,the management trust,the management trust,the management trust,False
Cactus Hills South Homeowners Association (Highland Hills South),0619192006-8,REG,196,(702) 737-8580,Firstservice Residential Nevada Llc,8290 Arville St,Las Vegas,NV,89139,Clark,FIRSTSERVICE RESIDENTIAL NEVADA LLC,8290 arville st,firstservice residential nevada,7027378580,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,False
Cactus Hills Square Homeowners Association,0475902005-0,REG,260,(702) 262-9091,Real Property Management Group,3720 West Oquendo Road Suite 101,Las Vegas,NV,89118,Clark,REAL PROPERTY MANAGEMENT GROUP,3720 w oquendo rd,real property management group,7022629091,regal property management,regal property management,regal property management,True
Cactus Hills Twilight Homeowners Association,0475562005-8,REG,197,(702) 968-0405,Varalino Community Management,6345 S Pecos Rd Ste 206,Las Vegas,NV,89141,Clark,VARALINO COMMUNITY MANAGEMENT,6345 s peco rd,varalino community management,7029680405,varalino community management,varalino community management,varalino community management,False
Cactus Landing At Mountain'S Edge Homeowners Association,SAME AS MASTER,SAM,,(702) 457-6362,Capital Consultants Management Corporation,8015 Blue Diamond #120,Las Vegas,NV,89178,Clark,CAPITAL CONSULTANTS MANAGEMENT CORPORATION,8015 blue diamond 120,capital consultant management,7024576362,capital consultant management,capital consultant management,capital consultant management,False
Cactus Ridge Community Association,0461682017-0,REG,73,(702) 531-3382,Camco,P O Box 400518,Las Vegas,NV,89140,Clark,CAMCO,p o box 400518,camco,7025313382,camco,camco,camco,False
Cactus Spring Homeowners' Association,21359-2004,REG,52,(702) 362-6262,Terra West Management Services,6655 S Cimarron Rd Ste 200,Las Vegas,NV,89113,Clark,TERRA WEST MANAGEMENT SERVICES,6655 s cimarron rd,terra west management service,7023626262,terra west management service,terra west management service,terra west management service,False
Cactus Springs At Fairfax Village Homeowners Association,0056302005-1,REG,150,(702) 869-0937,Prime Community Management Llc,3556 E Russell Rd,Las Vegas,NV,89120,Clark,PRIME COMMUNITY MANAGEMENT LLC,3556 e russell rd,prime community management,7028690937,prime community management,prime community management,prime community management,False
Cactus Springs At Pueblo Crossing Homeowners Association,0280182005-7,REG,67,(702) 365-6720,First Columbia Community Management Inc,"3100 W. Sahara Ave, Suite 203",Las Vegas,NV,89102,Clark,FIRST COLUMBIA COMMUNITY MANAGEMENT INC,3100 w sahara ave,first columbia community management,7023656720,first columbia community management,first columbia community management,first columbia community management,False
Cactus Springs Community Association,18026-2002,REG,283,(702) 851-7660,Nicklin Property Management,375 N Stephanie St Ste 911,Henderson,NV,89014,Clark,NICKLIN PROPERTY MANAGEMENT,375 n stephanie st,nicklin community management service,7028517660,nicklin community management service,nicklin community management service,nicklin community management service,False
Cadence Residential Community Master Association,0603252013-7,MSTR,13250,(702) 605-3111,Capital Consultants Management Corporation,"1170 E Sunset Road, Ste 101",Henderson,NV,89011,Clark,CAPITAL CONSULTANTS MANAGEMENT CORPORATION,1170 e sunset rd,capital consultant management,7026053111,capital consultant management,capital consultant management,capital consultant management,False
Cahi #6 Homeowner'S Association,28775-1999,REG,24,(775) 230-8531,"Anchor Management And Consulting, Llc",501 N Minnesota St,Carson City,NV,89703,Douglas,"ANCHOR MANAGEMENT AND CONSULTING, LLC",501 n minnesota st,anchor management and consulting,7752308531,anchor management and consulting,anchor management and consulting,anchor management and consulting,False
Calabria Homeowners Association,27890-2004,REG,70,(702) 982-2587,Nevada'S Finest Properties Llc,3568 E Russell Rd,Las Vegas,NV,89120,Clark,NEVADA'S FINEST PROPERTIES LLC,3568 e russell rd,nevada finest propertie,7029822587,nevada finest propertie,nevada finest propertie,nevada finest propertie,False
Calais At Falcon Ridge Owners' Association,30328-2002,SUB,63,(702) 346-2288,Terra West Management Services,840 Pinnacle Ct Ste 1A,Mesquite,NV,89027,Clark,TERRA WEST MANAGEMENT SERVICES,840 pinnacle ct,terra west management service,7023462288,terra west management service,terra west management service,terra west management service,False
Calais Owners' Association,0570452012-0,SUB,14,(702) 345-2200,Colonial Property Management,736 W Pioneer Blvd Ste 200,Mesquite,NV,89027,Clark,COLONIAL PROPERTY MANAGEMENT,736 w pioneer blvd,colonial property management,7023452200,colonial property management,colonial property management,colonial property management,False
Calavera Homeowners Association,2622-2004,SUB,166,(702) 222-2391,Nevada Community Management,9500 W Flamingo Rd Ste 204,Las Vegas,NV,89147,Clark,NEVADA COMMUNITY MANAGEMENT,9500 w flamingo rd,nevada community management,7022222391,nevada community management,nevada community management,nevada community management,False
Calico Hills Owners Association,13349-1995,REG,12,(702) 869-0937,Prime Community Management Llc,3556 E Russell Rd,Las Vegas,NV,89120,Clark,PRIME COMMUNITY MANAGEMENT LLC,3556 e russell rd,prime community management,7028690937,prime community management,prime community management,prime community management,False
"Calico Ridge Owners Association, The",8564-1983,REG,400,(702) 851-7660,Nicklin Community Management,375 N Stephanie St Ste 911,Henderson,NV,89014,Clark,NICKLIN COMMUNITY MANAGEMENT,375 n stephanie st,nicklin community management service,7028517660,nicklin community management service,nicklin community management service,nicklin community management service,False
Calimesa Homeowners Association,25007-2002,REG,90,(702) 362-6262,Terra West Management Services,6655 S Cimarron Rd Ste 200,Las Vegas,NV,89113,Clark,TERRA WEST MANAGEMENT SERVICES,6655 s cimarron rd,terra west management service,7023626262,terra west management service,terra west management service,terra west management service,False
Calvada Aero Park Association,6814-1979,REG,354,(702) 365-6720,First Columbia Community Management Inc,"3100 W Sahara Ave, Suite 203",Las Vegas,NV,89102,Nye,FIRST COLUMBIA COMMUNITY MANAGEMENT INC,3100 w sahara ave,first columbia community management,7023656720,first columbia community management,first columbia community management,first columbia community management,False
Calvada Greens Homeowners Association,2409-1988,REG,15,(702) 942-2500,Community Management Group,2450 Box Canyon Dr,Las Vegas,NV,89128,Nye,COMMUNITY MANAGEMENT GROUP,2450 box canyon dr,community management group,7029422500,community management group,community management group,community management group,False
Calypso Homeowners Association,10608302020-6,REG,10,(702) 395-2399,Triton Hoa Services Llc,"10501 W Gowan Road, Suite 260",Las Vegas,NV,89129,Clark,TRITON HOA SERVICES LLC,10501 w gowan rd,triton hoa service,7023952399,triton hoa service,triton hoa service,triton hoa service,False
Cambria Bay Homeowners Assoiation,42089242024-2,REG,203,(702) 848-3418,Sage Management,7455 Arroyo Crossing Pkwy Ste 220,Las Vegas,NV,89113,Clark,SAGE MANAGEMENT,7455 arroyo crossing pkwy,sage management,7028483418,sage management,sage management,sage management,False
Cambria Colinas Homeowners Association,0151222005-7,REG,240,(702) 222-2391,Nevada Community Management,9500 W Flamingo Rd #204,Las Vegas,NV,89147,Clark,NEVADA COMMUNITY MANAGEMENT,9500 w flamingo rd 204,nevada community management,7022222391,nevada community management,nevada community management,nevada community management,False
Cambria Hills Homeowners Association,4753-1996,REG,96,(702) 736-9450,Taylor Association Management,259 N Pecos Rd Ste 100,Henderson,NV,89074,Clark,TAYLOR ASSOCIATION MANAGEMENT,259 n peco rd,taylor association management,7027369450,taylor association management,taylor association management,taylor association management,False
Cambria Homeowners Association,0223342006-9,REG,85,702-365-6720,First Columbia Community Management Inc,"3100 W. Sahara Ave., Suite 203",Las Vegas,NV,89102,Clark,FIRST COLUMBIA COMMUNITY MANAGEMENT INC,3100 w sahara ave,first columbia community management,7023656720,first columbia community management,first columbia community management,first columbia community management,False
"Cambria Homeowners' Association At Mesquite Estates, The",6663902020-3,SUB,163,(702) 346-2288,Terra West Management Services,840 Pinnacle Court Suite 1-A,Mesquite,NV,89027,Clark,TERRA WEST MANAGEMENT SERVICES,840 pinnacle court,terra west management service,7023462288,terra west management service,terra west management service,terra west management service,False
Cambria Maintenance Association,0652702005-1,REG,142,(702) 433-0149,Level Property Management,8966 Spanish Ridge Ave Ste 100,Las Vegas,NV,89148,Clark,LEVEL PROPERTY MANAGEMENT,8966 spanish ridge ave,level property management,7024330149,level property management,level property management,level property management,False
Cambridge Crossing Community Association,2213-1996,SUB,98,(702) 737-8580,"Firstservice Residential, Nevada, Llc",8290 Arville St,Las Vegas,NV,89139,Clark,"FIRSTSERVICE RESIDENTIAL, NEVADA, LLC",8290 arville st,firstservice residential nevada,7027378580,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,False
"Cambridge Gardens Apartment Home Owners Association, Inc.",28927-2002,REG,56,(702) 222-2391,Nevada Community Management,9500 W Flamingo Rd Ste 204,Las Vegas,NV,89147,Clark,NEVADA COMMUNITY MANAGEMENT,9500 w flamingo rd,nevada community management,7022222391,nevada community management,nevada community management,nevada community management,False
Cambridge Heights Community Association,18704-1996,REG,137,(702) 736-9450,Taylor Association Management,259 North Pecos Rd Ste 100,Henderson,NV,89074,Clark,TAYLOR ASSOCIATION MANAGEMENT,259 n peco rd,taylor association management,7027369450,taylor association management,taylor association management,taylor association management,False
Cambridge Homeowners Association,0459892006-8,SUB,275,(702) 433-0149,Level Property Management,"8966 Spanish Ridge Ave, Suite 100",Las Vegas,NV,89148,Clark,LEVEL PROPERTY MANAGEMENT,8966 spanish ridge ave,level property management,7024330149,level property management,level property management,level property management,False
Camden At Virginia Lake Crossing Homeowners Association,0072962007-1,REG,51,(775) 284-4434,"Western Nevada Management, Inc",255 W Peckham Lane Suite 2,Reno,NV,89509,Washoe,"WESTERN NEVADA MANAGEMENT, INC",255 w peckham lane,western nevada management,7752844434,western nevada management,western nevada management,western nevada management,False
Camden Courts Community Association,9767572020-8,REG,40,(702) 795-3344,Associa Nevada South,7670 W Lake Mead Blvd #100,Las Vegas,NV,89128,Clark,ASSOCIA NEVADA SOUTH,7670 w lake mead blvd 100,associa,7027953344,associa,associa,associa,False
Camden Homeowners Association,5302932020-6,REG,40,(702) 639-8410,Terra West Management Services,6655 S Cimarron Rd Ste 200,Las Vegas,NV,89113,Clark,TERRA WEST MANAGEMENT SERVICES,6655 s cimarron rd,terra west management service,7026398410,terra west management service,terra west management service,terra west management service,False
Camden Park Homeowners Association,9144-1997,REG,150,(702) 754-0000,"Integrity Based Management, Llc",2920 N Green Valley Parkway #821,Henderson,NV,89014,Clark,"INTEGRITY BASED MANAGEMENT, LLC",2920 n green valley parkway 821,integrity based management,7027540000,integrity based management,integrity based management,integrity based management,False
Cameron And Crestone Homeowners Association,0819252005-7,SUB,210,(702) 942-2500,Community Management Group,2450 Box Canyon Drive,Las Vegas,NV,89128,Clark,COMMUNITY MANAGEMENT GROUP,2450 box canyon drive,community management group,7029422500,community management group,community management group,community management group,False
Cameron Frias Community Association,17416362021-7,REG,484,(702) 795-3344,Associa Nevada South,7670 W. Lake Mead Blvd Ste 100,Las Vegas,NV,89128,Clark,ASSOCIA NEVADA SOUTH,7670 w lake mead blvd,associa,7027953344,associa,associa,associa,False
Cameron Pointe Homeowners Association,0439062016-7,REG,96,(702) 639-8410,Terra West Management Services,6655 S Cimarron Rd Ste 200,Las Vegas,NV,89113,Clark,TERRA WEST MANAGEMENT SERVICES,6655 s cimarron rd,terra west management service,7026398410,terra west management service,terra west management service,terra west management service,False
Camp Lady Of The Snows Mutual Water And Improvement Association,364-1960,REG,73,(702) 982-0430,"Desert Community Management, Llc",6240 N Durango Dr Ste 115,Las Vegas,NV,89149,Clark,"DESERT COMMUNITY MANAGEMENT, LLC",6240 n durango dr,desert community management,7029820430,desert community management,desert community management,desert community management,False
Canaberry Estates Homeowners Association,0235132012-6,REG,8,(702) 645-1210,The Association Management Group,7495 W Azure Drive Ste 140 D,Las Vegas,NV,89149,Clark,THE ASSOCIATION MANAGEMENT GROUP,7495 w azure drive,the association management group,7026451210,the association management group,the association management group,the association management group,False
Candlelight Estates Homeowners' Association,23606-1996,REG,74,(702) 458-2580,Colonial Property Management,8595 S Eastern Avenue,Las Vegas,NV,89123,Clark,COLONIAL PROPERTY MANAGEMENT,8595 s eastern ave,colonial property management,7024582580,colonial property management,colonial property management,colonial property management,False
"Cantabria Owners Association, Inc",21621-1995,SUB,100,(702) 736-9450,Taylor Association Management,259 N Pecos Rd Ste 100,Henderson,NV,89074,Clark,TAYLOR ASSOCIATION MANAGEMENT,259 n peco rd,taylor association management,7027369450,taylor association management,taylor association management,taylor association management,False
Cantabria Townhomes Owners Association,0196452018-2,REG,32,(775) 473-6565,"Gaston Wilkerson Association Services, Inc.",1675 Robb Drive Ste 5,Reno,NV,89523,Washoe,"GASTON WILKERSON ASSOCIATION SERVICES, INC.",1675 robb drive,gaston wilkerson association service,7754736565,gaston wilkerson association service,gaston wilkerson association service,gaston wilkerson association service,False
Canterra @ Summerlin West Community Association,SAME AS MASTER,SAM,96,(702) 791-4600,Howard Hughes Corporation,2115 Festival Plaza Dr Ste 220,Las Vegas,NV,89135,Clark,HOWARD HUGHES CORPORATION,2115 festival plaza dr,howard hughe,7027914600,howard hughe,howard hughe,howard hughe,False
Cantura Homeowners Association,24825-2004,REG,294,(702) 737-8580,"Firstservice Residential, Nevada, Llc",8290 Arville St,Las Vegas,NV,89139,Clark,"FIRSTSERVICE RESIDENTIAL, NEVADA, LLC",8290 arville st,firstservice residential nevada,7027378580,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,False
Canyon Creek Estates Homeowners Association,11168-2002,REG,80,(775) 298-7990,Incline Property Management,Po Box 495,Genoa,NV,89706,Douglas,INCLINE PROPERTY MANAGEMENT,po box 495,incline property management,7752987990,incline property management,incline property management,incline property management,False
Canyon Creek North Homeowners Association,6598-1995,REG,293,(702) 222-2391,Nevada Community Management,9500 West Flamingo Road #204,Las Vegas,NV,89149,Clark,NEVADA COMMUNITY MANAGEMENT,9500 w flamingo rd 204,nevada community management,7022222391,nevada community management,nevada community management,nevada community management,False
Canyon Creek Villas Homeowners Association,0824402006-4,REG,280,(702) 222-2391,Nevada Community Management,"9500 W Flamingo Rd., Ste 204",Las Vegas,NV,89147,Clark,NEVADA COMMUNITY MANAGEMENT,9500 w flamingo rd,nevada community management,7022222391,nevada community management,nevada community management,nevada community management,False
Canyon Crest Association,30645-2003,REG,90,(702) 795-3344,Associa Nevada South,7670 W Lake Mead Blvd Ste 100,Las Vegas,NV,89128,Clark,ASSOCIA NEVADA SOUTH,7670 w lake mead blvd,associa,7027953344,associa,associa,associa,False
Canyon Crest Community Association,482-1998,SUB,64,(702) 990-9707,Kallfelz Team Dba Hoa Management,2701 N Tenaya Way Ste 130,Las Vegas,NV,89128,Clark,KALLFELZ TEAM DBA HOA MANAGEMENT,2701 n tenaya way,kallfelz team dba hoa management,7029909707,kallfelz team dba hoa management,kallfelz team dba hoa management,kallfelz team dba hoa management,False
Canyon Crest Masters Association,36138-2004,REG,1043,(702) 345-2200,Colonial Property Management,736 W Pioneer Blvd Ste 200,Mesquite,NV,89027,Clark,COLONIAL PROPERTY MANAGEMENT,736 w pioneer blvd,colonial property management,7023452200,colonial property management,colonial property management,colonial property management,False
Canyon Crossing Homeowners Association,0636942008-2,REG,63,(775) 852-2224,Equus Management Group,5480 Reno Corporate Dr Ste 100,Reno,NV,89511,Washoe,EQUUS MANAGEMENT GROUP,5480 reno corporate dr,equu management group,7758522224,equu management group,equu management group,equu management group,False
Canyon Fairways Community Association,25644-1996,SUB,152,(702) 933-7764,Real Properties Management Group Inc,Po Box 95606,Las Vegas,NV,89193,Clark,REAL PROPERTIES MANAGEMENT GROUP INC,po box 95606,real propertie management group,7029337764,real propertie management group,real propertie management group,real propertie management group,False
Canyon Falls Estates Homeowners' Association,0205752011-3,REG,55,(702) 942-2500,Community Management Group,2450 Box Canyon Dr,Las Vegas,NV,89128,Clark,COMMUNITY MANAGEMENT GROUP,2450 box canyon dr,community management group,7029422500,community management group,community management group,community management group,False
Canyon Gate Master Association,822-1989,REG,507,(702) 361-6640,Olympia Management Services,"11411 Southern Highlands Pkwy, Suite 100",Las Vegas,NV,89141,Clark,OLYMPIA MANAGEMENT SERVICES,11411 southern highland pkwy,olympia management service,7023616640,olympia management service,olympia management service,olympia management service,False
"Canyon Hills Landscaping Maintenance Association, Inc.",0856512005-4,REG,157,(775) 852-2224,Equus Management Group,5480 Reno Corporate Dr Ste 100,Reno,NV,89511,Washoe,EQUUS MANAGEMENT GROUP,5480 reno corporate dr,equu management group,7758522224,equu management group,equu management group,equu management group,False
Canyon Mist Estates Homeowners Association,708-2004,REG,100,(702) 531-3382,Camco,Po Box 400518,Las Vegas,NV,89140,Clark,CAMCO,po box 400518,camco,7025313382,camco,camco,camco,False
Canyon Oaks Owners Association,17124-1995,SUB,73,(702) 933-7764,"Real Property Management Group, Inc.",P O Box 95606,Las Vegas,NV,89193,Clark,"REAL PROPERTY MANAGEMENT GROUP, INC.",p o box 95606,real property management group,7029337764,real propertie management group,real propertie management group,real propertie management group,True
Canyon Pines Homeowners Association,2001-2005,REG,301,(775) 446-4479,Hoamco,5484 Reno Corporate Drive Ste 2,Reno,NV,89511,Washoe,HOAMCO,5484 reno corporate drive,hoamco,7754464479,hoamco,hoamco,hoamco,False
Canyon Ranch Estates Homeowners Association,7160-1990,REG,100,(702) 942-2500,Community Management Group,2450 Box Canyon Dr,Las Vegas,NV,89128,Clark,COMMUNITY MANAGEMENT GROUP,2450 box canyon dr,community management group,7029422500,community management group,community management group,community management group,False
Canyon Ridge Homeowners Association,7562-1997,SUB,65,(702) 942-2500,Community Management Group,2450 Box Canyon Dr,Las Vegas,NV,89128,Clark,COMMUNITY MANAGEMENT GROUP,2450 box canyon dr,community management group,7029422500,community management group,community management group,community management group,False
Canyon Springs Homeowners Association,31948-2004,REG,243,(702) 655-7064,Nevada Community Management,9500 W Flamingo Rd Ste 204,Las Vegas,NV,89131,Clark,NEVADA COMMUNITY MANAGEMENT,9500 w flamingo rd,nevada community management,7026557064,nevada community management,nevada community management,nevada community management,False
Canyon Terrace Community Association,16331-2000,SUB,84,(702) 365-6720,First Columbia Community Management Inc,Po Box 28759,Las Vegas,NV,89126,Clark,FIRST COLUMBIA COMMUNITY MANAGEMENT INC,po box 28759,first columbia community management,7023656720,first columbia community management,first columbia community management,first columbia community management,False
Canyon Trails Community Association,42590012024-6,REG,93,(702) 848-3418,Sage Management,7455 Arroyo Crossing Pkwy Ste 220,Las Vegas,NV,89113,Clark,SAGE MANAGEMENT,7455 arroyo crossing pkwy,sage management,7028483418,sage management,sage management,sage management,False
Canyon Trails Homeowners' Association,8204-2001,REG,291,(702) 362-6262,Terra West Management Services,6655 S Cimarron Rd Ste 200,Las Vegas,NV,89113,Clark,TERRA WEST MANAGEMENT SERVICES,6655 s cimarron rd,terra west management service,7023626262,terra west management service,terra west management service,terra west management service,False
Canyon Trails Ii Homeowners' Association,23274-2002,REG,74,(702) 262-9091,Regal Property Management,3720 W Oquendo Rd Ste 101,Las Vegas,NV,89118,Clark,REGAL PROPERTY MANAGEMENT,3720 w oquendo rd,regal property management,7022629091,regal property management,regal property management,regal property management,False
