Name,SOS#,Assn Type,# of Units,Telephone,Address1,Address2,City,State,Zip Code,County,Address2_Normalized,Firm_Normalized,Phone_Normalized,Firm_ByPhone,Firm_ByAddress,Firm_Canonical,Firm_Final
Breccia Bay Homeowners Association,0591622017-1,REG,72.0,(702) 515-2042, Thoroughbred Management,2555 W. Cheyenne Ave.,Las Vegas,NV,89032,Clark,2555 w cheyenne ave,thoroughbred management,7025152042,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management
Brookfield Community Association,0549802017-1,REG,222.0,(702) 515-2042, Thoroughbred Management,2555 W. Cheyenne Ave.,N. Las Vegas,NV,89032,Clark,2555 w cheyenne ave,thoroughbred management,7025152042,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management
Bunker Vistas Homeowners Association,0318432013-3,REG,41.0,(702) 515-2042, Thoroughbred Management Inc,2555 W Cheyenne Ave,N Las Vegas,NV,89032,Clark,2555 w cheyenne ave,thoroughbred management,7025152042,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management
Capella Pointe Homeowners Association,0501212018-5,SUB,164.0,(702) 515-2042, Throughbred Management,2555 W Cheyenne Ave,N Las Vegas,NV,89032,Clark,2555 w cheyenne ave,throughbred management,7025152042,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management
Carina & Polaris Pointe Homeowners Association,0413132018-8,SUB,209.0,(702) 515-2042," Thoroughbred Management, Inc.",2555 W Cheyenne Ave,Las Vegas,NV,89032,Clark,2555 w cheyenne ave,thoroughbred management,7025152042,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management
Carnegie Hills Homeowners Association,6320-2003,REG,47.0,(702) 515-2042," Thoroughbred Management, Inc.",2555 W Cheyenne Ave,N Las Vegas,NV,89032,Clark,2555 w cheyenne ave,thoroughbred management,7025152042,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management
Catalina Cove Homeowners Association,0418782012-4,REG,181.0,(702) 515-2042, Thoroughbred Management,2555 W Cheyenne Ave,N Las Vegas,NV,89032,Clark,2555 w cheyenne ave,thoroughbred management,7025152042,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management
Copper Creek Estates Homeowners Association,0485062006-1,REG,320.0,(702) 515-2042, Thoroughbred Management,710 Coronado Center Drive,Henderson,NV,89052,Clark,710 coronado center drive,thoroughbred management,7025152042,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management
Copper Crest Homeowners Association Inc,12533-1994,REG,230.0,(702) 515-2042, Thoroughbred Management,2555 W Cheyenne Ave,N Las Vegas,NV,89032,Clark,2555 w cheyenne ave,thoroughbred management,7025152042,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management
Coronado Falls Homeowners Association,0591792017-0,REG,71.0,(702) 515-2042, Thoroughbred Management,2555 W. Cheyenne Ave.,N. Las Vegas,NV,89032,Clark,2555 w cheyenne ave,thoroughbred management,7025152042,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management
Countryside Homeowners Association,5393-1996,REG,497.0,(702) 515-2042, Thoroughbred Management Inc,710 Coronado Center Dr Ste 120,Henderson,NV,89052,Clark,710 coronado center dr,thoroughbred management,7025152042,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management
Crimson Heights Association,2620-2004,REG,85.0,(702) 515-2042, Thoroughbred Management,710 Coronado Center Dr Ste 120,Henderson,NV,89052,Clark,710 coronado center dr,thoroughbred management,7025152042,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management
"Crossings Homeowners Association, The",0638482010-2,REG,77.0,(702) 515-2042, Thoroughbred Management,2555 W. Cheyenne Ave,N Las Vegas,NV,89032,Clark,2555 w cheyenne ave,thoroughbred management,7025152042,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management
Davyn Ridge Homeowners' Association,0661692006-0,REG,438.0,(702) 515-2042, Thoroughbred Management,2555 W Cheyenne Ave,N Las Vegas,NV,89032,Clark,2555 w cheyenne ave,thoroughbred management,7025152042,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management
Diamante West Homeowners Association,0238172006-5,REG,81.0,(702) 515-2042," Thoroughbred Management, Inc.",2555 W Cheyenne Ave,N Las Vegas,NV,89032,Clark,2555 w cheyenne ave,thoroughbred management,7025152042,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management
Eagle Heights At Elkhorn Springs Homeowners Association Inc,13065-1998,REG,81.0,(702) 515-2042, Thoroughbred Management Inc,2555 W Cheyenne Ave,N Las Vegas,NV,89032,Clark,2555 w cheyenne ave,thoroughbred management,7025152042,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management
Edgefield Homeowners Association,0595442015-1,REG,510.0,(702) 515-2042, Thoroughbred Management,2555 W Cheyenne Ave,North Las Vegas,NV,89032,Clark,2555 w cheyenne ave,thoroughbred management,7025152042,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management
Eldorado Third Community Association,4800-2002,REG,985.0,(702) 515-2042," Thoroughbred Management, Inc.",2555 W Cheyenne Ave,N Las Vegas,NV,89032,Clark,2555 w cheyenne ave,thoroughbred management,7025152042,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management
Elkcrest Estates Homeowners Association,0108082016-9,REG,10.0,702-515-2042, Thoroughbred Management,2555 W. Cheyenne Ave.,North Las Vegas,NV,89032,Clark,2555 w cheyenne ave,thoroughbred management,7025152042,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management
Elkhorn Ponderosa Ii East Homeowners Association,0361942012-6,REG,38.0,(702) 515-2042," Thoroughbred Management, Inc.",2555 W Cheyenne Ave,N Las Vegas,NV,89032,Clark,2555 w cheyenne ave,thoroughbred management,7025152042,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management
Elsinore Homeowners Association,0665502005-2,REG,221.0,(702) 515-2042, Thoroughbred Management,2555 W Cheyenne Ave,N Las Vegas,NV,89032,Clark,2555 w cheyenne ave,thoroughbred management,7025152042,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management
Estrella Ii Homeowners' Association,0469512005-5,REG,64.0,(702) 515-2042," Thoroughbred Management, Inc.",2555 W Cheyenne Ave,N Las Vegas,NV,89031,Clark,2555 w cheyenne ave,thoroughbred management,7025152042,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management
Falcon Ridge At Lone Mountain Homeowners Association,0223292006-2,REG,134.0,(702) 515-2042, Thoroughbred Management Inc,2555 W Cheyenne Ave,N Las Vegas,NV,89032,Clark,2555 w cheyenne ave,thoroughbred management,7025152042,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management
Fields At Aliante Homeowners Association,4741-2004,SUB,308.0,(702) 515-2042, Thoroughbred Management Inc,2555 W Cheyenne Ave,N Las Vegas,NV,89032,Clark,2555 w cheyenne ave,thoroughbred management,7025152042,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management
"Flamingo Trails No. 7 Landscape Maintenance Association, Inc.",29911-1998,REG,63.0,(702) 515-2042, Thoroughbred Management Inc,2555 W Cheyenne Ave,N Las Vegas,NV,89032,Clark,2555 w cheyenne ave,thoroughbred management,7025152042,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management
Fort Apache Ranch Homeowners Association,0609272013-5,REG,436.0,(702) 515-2042, Thoroughbred Management Inc,2555 W Cheyenne Ave,N Las Vegas,NV,89032,Clark,2555 w cheyenne ave,thoroughbred management,7025152042,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management
Foxborough Homeowners Association,0218492005-8,REG,175.0,(702) 515-2042, Thoroughbred Management,2555 W Cheyenne Ave,N Las Vegas,NV,89032,Clark,2555 w cheyenne ave,thoroughbred management,7025152042,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management
Giavanna Homeowners Association,0483842005-2,REG,393.0,(702) 515-2042, Thoroughbred Management,2555 West Cheyenne Avenue,Las Vegas,NV,89032,Clark,2555 w cheyenne ave,thoroughbred management,7025152042,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management
Griffin Park Homeowner Association,0041932013-9,REG,81.0,(702) 515-2042, Thoroughbred Management Inc,2555 W Cheyenne Ave,N Las Vegas,NV,89032,Clark,2555 w cheyenne ave,thoroughbred management,7025152042,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management
Highland Hills Community Association,0093142016-9,REG,336.0,(702) 515-2042, Thoroughbred Management,710 Coronado Center Drive Ste 120,Henderson,NV,89052,Clark,710 coronado center drive,thoroughbred management,7025152042,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management
Horizons Edge Homeowners Association,0483482012-7,REG,214.0,(702) 515-2042, Thoroughbred Management,2555 W Cheyenne Ave,North Las Vegas,NV,89032,Clark,2555 w cheyenne ave,thoroughbred management,7025152042,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management
Horizons Edge South Homeowners Association,0297682017-0,REG,89.0,(702) 515-2042, Thoroughbred Management,2555 W. Cheyenne Ave.,N. Las Vegas,NV,89032,Clark,2555 w cheyenne ave,thoroughbred management,7025152042,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management
Independence Ii Homeowners' Association,24628-2003,REG,224.0,(702) 515-2042, Thoroughbred Management,2555 W Cheyenne Ave,N Las Vegas,NV,89032,Clark,2555 w cheyenne ave,thoroughbred management,7025152042,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management
Indigo Ridge Homeowners Association,0254432018-1,REG,66.0,(702) 515-2042, Thoroughbred Management,2555 W. Cheyenne,Las Vegas,NV,89032,Clark,2555 w cheyenne,thoroughbred management,7025152042,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management
Jasmine Homeowners Association,982-2002,REG,296.0,(702) 515-2042, Thoroughbred Management,2555 W Cheyenne Ave,N Las Vegas,NV,89032,Clark,2555 w cheyenne ave,thoroughbred management,7025152042,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management
Kensington At Providence Homeowners Association,0042682007-1,SUB,137.0,(702) 515-2042, Thoroughbred Management Inc,2555 W Cheyenne Ave,N Las Vegas,NV,89032,Clark,2555 w cheyenne ave,thoroughbred management,7025152042,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management
Ladera Park Homeowner'S Association,0358702005-4,SUB,616.0,(702) 515-2042, Thoroughbred Management,2555 W Cheyenne Ave,N Las Vegas,NV,89032,Clark,2555 w cheyenne ave,thoroughbred management,7025152042,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management
Laurel Canyon Homeowners Association,6267-2004,REG,422.0,(702) 515-2042, Thoroughbred Management,2555 W Cheyenne Ave,N Las Vegas,NV,89032,Clark,2555 w cheyenne ave,thoroughbred management,7025152042,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management
Loretto Bay-Bella Lago Homeowners Association,0428632006-1,SUB,138.0,(702) 515-2042, Throughbred Management,2555 W Cheyenne Ave,N Las Vegas,NV,89032,Clark,2555 w cheyenne ave,throughbred management,7025152042,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management
Madison Hills Homeowners Association,0560262013-6,REG,447.0,(702) 515-2042," Thoroughbred Management, Inc.",2555 W Cheyenne Ave,N Las Vegas,NV,89032,Clark,2555 w cheyenne ave,thoroughbred management,7025152042,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management
Meridian Owners Association,27902-2001,REG,83.0,(702) 515-2042, Thoroughbred Management,2555 W Cheyenne Ave,N Las Vegas,NV,89032,Clark,2555 w cheyenne ave,thoroughbred management,7025152042,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management
Monte Bello @ Summerlin Homeowners Association,0490892013-6,SUB,106.0,(702) 515-2042, Thoroughbred Management Inc,2555 W Cheyenne Ave,N Las Vegas,NV,89032,Clark,2555 w cheyenne ave,thoroughbred management,7025152042,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management
Monte Cristo Estates Homeowners Association,9264-2000,REG,8.0,(702) 515-2042, Thoroughbred Management,2555 W Cheyenne Ave,N Las Vegas,NV,89032,Clark,2555 w cheyenne ave,thoroughbred management,7025152042,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management
Northgate Homeowners Association,10041-1995,REG,101.0,(702) 515-2042, Thoroughbred Management,2555 W Cheyenne Ave,N Las Vegas,NV,89032,Clark,2555 w cheyenne ave,thoroughbred management,7025152042,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management
Northridge Community Association,0116332018-2,REG,119.0,(702) 515-2042, Thoroughbred Management,2555 W. Cheyenne Ave.,N. Las Vegas,NV,89032,Clark,2555 w cheyenne ave,thoroughbred management,7025152042,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management
Oakridge At Providence Homeowners Association,0167392015-6,SUB,82.0,(702) 515-2042, Thoroughbred Management,2555 W Cheyenne Ave,N Las Vegas,NV,89032,Clark,2555 w cheyenne ave,thoroughbred management,7025152042,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management
Onyx Point At Summerlin Homeowners Association,0313162017-9,SUB,75.0,(702) 515-2042,Tc/O Horoughbred Management,2555 W. Cheyenne Ave.,N Las Vegas,NV,89032,Clark,2555 w cheyenne ave,tco horoughbred management,7025152042,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management
Palm Creek Community Association,0862962005-5,REG,106.0,(702) 515-2042, Thoroughbred Management Inc,2555 W Cheyenne Ave,N Las Vegas,NV,89032,Clark,2555 w cheyenne ave,thoroughbred management,7025152042,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management
Palm Terrace Homeowners' Association,0504042005-2,REG,40.0,(702) 515-2042, Thoroughbred Management,2555 W Cheyenne Ave,N Las Vegas,NV,89032,Clark,2555 w cheyenne ave,thoroughbred management,7025152042,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management
Park San Miguel Property Owners Association.,11324-1994,REG,45.0,(702) 515-2042, Thoroughbred Management Inc,2555 W Cheyenne Ave,N Las Vegas,NV,89032,Clark,2555 w cheyenne ave,thoroughbred management,7025152042,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management
Park View Crossing Homeowners Association,0094822010-6,REG,77.0,(702) 515-2042, Thoroughbred Management Inc,2555 W Cheyenne Ave,N Las Vegas,NV,89032,Clark,2555 w cheyenne ave,thoroughbred management,7025152042,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management
Quail Run Homeowners Association,0041952013-1,REG,24.0,(702) 515-2042, Thoroughbred Management Inc,2555 W Cheyenne Ave,N Las Vegas,NV,89032,Clark,2555 w cheyenne ave,thoroughbred management,7025152042,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management
Rainbow Ridge Homeowners Association,0037742016-3,REG,170.0,(702) 515-2042, Thoroughbred Management,2555 W Cheyenne Avenue,N Las Vegas,NV,89032,Clark,2555 w cheyenne ave,thoroughbred management,7025152042,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management
Rainier At Skye Canyon Homeowners Association,0591632017-2,SUB,100.0,(702) 515-2042," Thoroughbred Management, Inc.",2555 W Cheyenne Ave,N Las Vegas,NV,89032,Clark,2555 w cheyenne ave,thoroughbred management,7025152042,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management
"Ranches Homeowners Association, The",3957-2004,REG,248.0,(702) 515-2042, Thoroughbred Management Inc,2555 W Cheyenne Ave,N Las Vegas,NV,89032,Clark,2555 w cheyenne ave,thoroughbred management,7025152042,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management
Rancho San Miguel Property Owners Association,5548-1991,REG,46.0,(702) 515-2042," Thoroughbred Management, Inc.",2555 W Cheyenne Ave,N Las Vegas,NV,89032,Clark,2555 w cheyenne ave,thoroughbred management,7025152042,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management
Riverstone Community Association,0358352018-6,REG,81.0,(702) 515-2042, Thoroughbred Management,2555 W. Cheyenne Ave.,Las Vegas,NV,89032,Clark,2555 w cheyenne ave,thoroughbred management,7025152042,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management
Riverwalk Ranch Crossing Homeowners Association,0379052006-1,SUB,94.0,(702) 515-2042," Thoroughbred Management, Inc.",2555 W Cheyenne Ave,N Las Vegas,NV,89032,Clark,2555 w cheyenne ave,thoroughbred management,7025152042,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management
Riverwalk Ranch Manor & Estates Homeowners Association,0379122006-0,SUB,144.0,(702) 515-2042, Thoroughbred Management,2555 W Cheyenne Ave,N Las Vegas,NV,89032,Clark,2555 w cheyenne ave,thoroughbred management,7025152042,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management
Rockland Ridge Homeowners Association,0246762018-0,REG,72.0,(702) 515-2042, Thoroughbred Management,2555 W. Cheyenne Ave.,N. Las Vegas,NV,89032,Clark,2555 w cheyenne ave,thoroughbred management,7025152042,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management
Santa Bella Homeowners Association,30588-2001,REG,128.0,(702) 515-2042, Thoroughbred Management Inc,2555 W Cheyenne Ave,N Las Vegas,NV,89032,Clark,2555 w cheyenne ave,thoroughbred management,7025152042,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management
Scots Pine At Summerlin Homeowners Association,0254312018-7,SUB,103.0,(702) 515-2042," Thoroughbred Management, Inc.",2555 W Cheyenne,N Las Vegas,NV,89032,Clark,2555 w cheyenne,thoroughbred management,7025152042,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management
Serrano Community Association,10353-2004,SUB,59.0,(702) 515-2042, Thoroughbred Management,2555 W Cheyenne Ave,N Las Vegas,NV,89032,Clark,2555 w cheyenne ave,thoroughbred management,7025152042,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management
Sierra Ranch Homeowners Association,0367302005-7,REG,964.0,(702) 515-2042," Thoroughbred Management, Inc.",2555 W Cheyenne Ave,N Las Vegas,NV,89032,Clark,2555 w cheyenne ave,thoroughbred management,7025152042,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management
Silver Estates Homeowners Association,0297452016-2,REG,13.0,702-515-2042, Thoroughbred Management Inc,2555 Cheyenne Ave,N. Las Vegas,NV,89032,Clark,2555 cheyenne ave,thoroughbred management,7025152042,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management
Silverado 129 Homeowners Association,22809-1996,REG,134.0,(702) 515-2042, Thoroughbred Management,2555 W Cheyenne Ave,N Las Vegas,NV,89032,Clark,2555 w cheyenne ave,thoroughbred management,7025152042,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management
Skyline Ridge Homeowners Association,0560212013-1,REG,564.0,(702) 515-2042," Thoroughbred Management, Inc.",2555 W Cheyenne Ave,N Las Vegas,NV,89032,Clark,2555 w cheyenne ave,thoroughbred management,7025152042,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management
Solamar Cove Homeowners Association,0237362012-5,REG,137.0,(702) 515-2042, Thoroughbred Management,2555 W Cheyenne Ave,N Las Vegas,NV,89032,Clark,2555 w cheyenne ave,thoroughbred management,7025152042,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management
Solana Homeowners Association,17198-2004,REG,98.0,(702) 515-2042, Thoroughbred Management Inc,2555 W Cheyenne Ave,N Las Vegas,NV,89032,Clark,2555 w cheyenne ave,thoroughbred management,7025152042,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management
Solandra Homeowners Association,0016082017-9,REG,18.0,702-515-2042, Thoroughbred Management,2555 W. Cheyenne Ave.,Las Vegas,NV,89032,Clark,2555 w cheyenne ave,thoroughbred management,7025152042,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management
Somerset Community Homeowners Association,0160592006-2,REG,87.0,(702) 515-2042, Thoroughbred Management,2555 W Cheyenne Ave,N Las Vegas,NV,89032,Clark,2555 w cheyenne ave,thoroughbred management,7025152042,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management
Spanish Ranch Creek Homeowners Association,0207992015-7,REG,80.0,(702) 515-2042, Thoroughbred Management,2555 W Cheyenne Ave,N Las Vegas,NV,89032,Clark,2555 w cheyenne ave,thoroughbred management,7025152042,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management
Summit Knoll Homeowners Association,0591692017-8,REG,720.0,(702) 515-2042," Thoroughbred Management, Inc.",2555 W Cheyenne Ave,N Las Vegas,NV,89032,Clark,2555 w cheyenne ave,thoroughbred management,7025152042,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management
Summit Ridge Manor Homeowners Association,0401012017-9,REG,55.0,(702) 515-2042, Thoroughbred Management,2555 W. Cheyenne,N. Las Vegas,NV,89032,Clark,2555 w cheyenne,thoroughbred management,7025152042,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management
Suncrest Homeowners Association,0514132005-5,REG,179.0,(702) 515-2042, Thoroughbred Management Inc,2555 W Cheyenne Ave,N Las Vegas,NV,89032,Clark,2555 w cheyenne ave,thoroughbred management,7025152042,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management
Suncrest Trail Owners' Association,33780-2000,REG,133.0,(702) 515-2042, Thoroughbred Management,2555 W. Cheyenne Avenue,N Las Vegas,NV,89032,Clark,2555 w cheyenne ave,thoroughbred management,7025152042,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management
Sundance At The Shadows Homeowners' Association,35658-2004,REG,534.0,(702) 515-2042, Thoroughbred Management Inc,2555 W Cheyenne Ave,N Las Vegas,NV,89032,Clark,2555 w cheyenne ave,thoroughbred management,7025152042,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management
Sunrise Ridge Master Homeowners Association,18836-2002,MSTR,1194.0,(702) 515-2042, Thoroughbred Management,2555 W Cheyenne Ave,N Las Vegas,NV,89032,Clark,2555 w cheyenne ave,thoroughbred management,7025152042,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management
Sunset Cove Homeowners Association,0471432015-1,REG,135.0,(702) 515-2042, Thoroughbred Management,2555 W Cheyenne Ave,N Las Vegas,NV,89032,Clark,2555 w cheyenne ave,thoroughbred management,7025152042,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management
Sunset Manor Homeowners Association,0016062017-7,REG,19.0,702-515-2042, Thoroughbred Management,2555 W. Cheyenne Ave.,N Las Vegas,NV,89032,Clark,2555 w cheyenne ave,thoroughbred management,7025152042,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management
Sweetwater Homeowners Association Inc,29883-1997,REG,85.0,(702) 515-2042, Thoroughbred Management,2555 W Cheyenne Ave,N Las Vegas,NV,89032,Clark,2555 w cheyenne ave,thoroughbred management,7025152042,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management
Talasera And Vicanto Homeowners' Association,24439-2004,REG,316.0,(702) 515-2042, Thoroughbred Management,2555 W Cheyenne Ave,N Las Vegas,NV,89032,Clark,2555 w cheyenne ave,thoroughbred management,7025152042,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management
Tenaya Crossing Homeowners Association,0146892006-0,REG,169.0,(702) 515-2042, Thoroughbred Management Inc,2555 W Cheyenne Ave,N Las Vegas,NV,89032,Clark,2555 w cheyenne ave,thoroughbred management,7025152042,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management
Tenaya Highlands Homeowners Association,0595462015-3,REG,225.0,(702) 515-2042, Thoroughbred Management,2555 W Cheyenne Ave,N Las Vegas,NV,89032,Clark,2555 w cheyenne ave,thoroughbred management,7025152042,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management
Timber Ridge Homeowners' Association,2254-2004,REG,39.0,(702) 515-2042, Thoroughbred Management,2555 W Cheyenne Ave,N Las Vegas,NV,89032,Clark,2555 w cheyenne ave,thoroughbred management,7025152042,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management
Timber Ridge Ii Homeowners Association,24674-2004,REG,26.0,(702) 515-2042, Thoroughbred Management,2555 W Cheyenne Ave,N Las Vegas,NV,89032,Clark,2555 w cheyenne ave,thoroughbred management,7025152042,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management
Timberlake Street And Landscape Maintenance Association,25999-1996,REG,289.0,(702) 515-2042," Thoroughbred Management, Inc.",2555 W Cheyenne Ave,N Las Vegas,NV,89032,Clark,2555 w cheyenne ave,thoroughbred management,7025152042,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management
Treasures Landscape Maintenance Association,26049-1999,REG,162.0,(702) 515-2042, Thoroughbred Management,2555 W Cheyenne Ave,N Las Vegas,NV,89032,Clark,2555 w cheyenne ave,thoroughbred management,7025152042,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management
Tropical Meadows Homeowners Association Inc,11537-1995,REG,80.0,(702) 515-2042, Thoroughbred Management,2555 W Cheyenne Ave,N Las Vegas,NV,89032,Clark,2555 w cheyenne ave,thoroughbred management,7025152042,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management
Valencia Homeowners Association,24161-2002,REG,142.0,(702) 515-2042, Thoroughbred Management Inc,2555 W Cheyenne Ave,N Las Vegas,NV,89032,Clark,2555 w cheyenne ave,thoroughbred management,7025152042,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management
Vienna Hills Homeowners Association,0862552005-6,REG,239.0,(702) 515-2042, Thoroughbred Management,2555 W Cheyenne Ave,No Las Vegas,NV,89032,Clark,2555 w cheyenne ave,thoroughbred management,7025152042,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management
Village At Craig Ranch Homeowners' Association,152-1995,REG,206.0,(702) 515-2042, Thoroughbred Management Inc,2555 W Cheyenne Ave,N Las Vegas,NV,89032,Clark,2555 w cheyenne ave,thoroughbred management,7025152042,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management
Villas At Pine Ridge Homeowners Association,0127402018-4,REG,29.0,(702) 515-2042," Thoroughbred Management, Inc.",2555 W Cheyenne Ave,N Las Vegas,NV,89032,Clark,2555 w cheyenne ave,thoroughbred management,7025152042,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management
Water Crest @ Duck Creek Village Homeowners' Association,0367852007-4,REG,65.0,(702) 515-2042, Throughbred Management Inc,2555 W Cheyenne Ave,N Las Vegas,NV,89032,Clark,2555 w cheyenne ave,throughbred management,7025152042,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management
Wine Ridge Estates Homeowners' Association,979-2005,REG,415.0,(702) 515-2042," Thoroughbred Management, Inc.",2555 W Cheyenne Ave,N Las Vegas,NV,89032,Clark,2555 w cheyenne ave,thoroughbred management,7025152042,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management
Eagle Crest Homeowners Association,0087022013-4,REG,138.0,(702) 515-2043, Thoroughbred Management,2555 W Cheyenne Ave,Las Vegas,NV,89032,Clark,2555 w cheyenne ave,thoroughbred management,7025152043,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management
Villa Cortina Homeowners Association,3851-2002,SUB,8.0,(702) 515-4042," Thoroughbred Management, Inc.",710 Coronado Center Dr Ste 120,Henderson,NV,89052,Clark,710 coronado center dr,thoroughbred management,7025154042,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management
Estates At Elkhorn Ridge Homeowners Association,0163272018-1,REG,95.0,(702) 531-2282, Camco,P O Box 400518,Las Vegas,NV,89140,Clark,p o box 400518,camco,7025312282,camco,camco,camco,camco
Adhara Cove Homeowners Association,0278802014-0,REG,203.0,(702) 531-3382, Camco,Po Box 400518,Las Vegas,NV,89140,Clark,po box 400518,camco,7025313382,camco,camco,camco,camco
Airpark Estates Homeowners Association,887-1991,REG,136.0,(702) 531-3382, Camco,Po Box 400518,Las Vegas,NV,89140,Lyon,po box 400518,camco,7025313382,camco,camco,camco,camco
