year,month,HHI_Total_assoc,HHI_Total_units,num_associations_Total,total_units_Total,HHI_LV_assoc,HHI_LV_units,num_associations_LV,total_units_LV,HHI_Reno_assoc,HHI_Reno_units,num_associations_Reno,total_units_Reno,HHI_Other_assoc,HHI_Other_units,num_associations_Other,total_units_Other
2021,11,379.6126023455291,711.0797404329162,3122,950647,468.6042030102641,649.206018385359,2512,644810,931.6810310022016,1038.1256864851678,431,92318,3701.819543709622,7246.491797707696,179,213519
2021,12,377.8479413892635,705.4476244794444,3166,941490,463.283912768102,625.1270733119276,2548,635099,939.8560613529404,1050.0476971964226,439,93819,3470.2412533940887,7299.149163998172,179,212572
2022,1,375.5079175579921,692.6702743358654,3242,973072,462.0965011836812,636.4432432947145,2602,663649,947.3735056152638,1045.7469766118595,455,95684,3605.843681519356,7233.234124649634,185,213739
2022,2,381.69906606815147,694.4917508356396,3252,973912,469.8818739449096,645.2593092918779,2609,660208,948.5800745993516,1042.5263338783486,457,95946,3547.8089952595665,6972.100544536631,186,217758
2022,3,380.1930821634234,699.6162568272368,3260,979922,468.1290098002698,662.4399296068809,2617,665973,952.6896893651916,1054.695869801876,458,96296,3564.937910883856,6978.568972402603,185,217653
2022,4,377.2248648003442,691.0245944110895,3267,979153,463.70161919988107,642.1475636409047,2624,665219,947.1183441058788,1063.6652701698945,456,95882,3490.2342074408757,6957.132391262083,187,218052
2022,5,374.3308419515128,689.6007722781353,3273,979692,460.4839182143067,640.5130239115354,2626,665102,934.47874754486,1057.695501986242,458,96038,3319.335964838609,6928.646666591702,189,218552
2022,6,374.9598529181326,692.1272198608243,3286,983293,458.5299844737197,637.78801219673,2639,668238,934.981733213949,1064.774453876693,457,96493,3284.764542936288,6928.012680867447,190,218562
2022,7,370.2700069532708,693.3635798573237,3286,979329,454.7152079905232,643.9848936699992,2635,663179,921.2876288610432,1022.5890104419886,457,96787,3151.769582314804,6881.100271839151,194,219363
2022,8,369.4920704188151,692.965179456484,3286,979624,455.01069583979046,644.5983439476835,2636,663423,921.1488150200064,1016.7285016659156,456,96923,3099.160378361142,6884.514104414045,194,219278
